217.60.63.206:8443#FR [176ms 1Mbps]
31.56.228.7:2053#FR [177ms 1Mbps]
95.182.96.42:8443#FR [179ms 7Mbps]
84.247.171.77:8443#FR [181ms 1Mbps]
31.59.103.72:443#FR [181ms 0Mbps]
185.248.86.218:443#GB [175ms 9Mbps]
57.128.183.35:8443#GB [180ms 0Mbps]
194.60.86.88:443#GB [191ms 0Mbps]
194.146.123.221:8443#GB [194ms 1Mbps]
35.176.187.206:443#GB [207ms 1Mbps]
86.185.101.240:8443#GB [207ms 1Mbps]
185.132.37.20:8443#GB [208ms 5Mbps]
130.185.249.139:443#GB [208ms 2Mbps]
94.43.238.112:2083#GE [324ms 0Mbps]
94.43.238.112:2053#GE [337ms 0Mbps]
206.53.48.205:443#GE [1281ms 1Mbps]
91.250.248.223:443#GR [231ms 1Mbps]
94.131.16.65:443#GR [232ms 0Mbps]
94.131.16.36:443#GR [241ms 1Mbps]
94.131.16.25:443#GR [252ms 1Mbps]
38.54.29.210:2053#GR [302ms 0Mbps]
45.10.190.30:443#GR [306ms 0Mbps]
43.161.254.71:443#HK [23ms 0Mbps]
23.147.172.135:443#HK [26ms 1Mbps]
38.55.195.57:443#HK [优选高速] [27ms 20Mbps]
34.92.9.131:8443#HK [优选高速] [27ms 16Mbps]
38.55.107.91:443#HK [27ms 0Mbps]
45.153.130.61:2053#HK [优选高速] [32ms 26Mbps]
91.110.174.202:8443#HK [32ms 5Mbps]
191.222.219.124:2053#HK [32ms 0Mbps]
91.219.236.136:2053#HU [199ms 0Mbps]
37.221.210.113:443#HU [224ms 1Mbps]
37.221.210.113:8443#HU [232ms 0Mbps]
38.180.108.148:443#HU [1187ms 2Mbps]
43.173.1.153:8443#ID [217ms 0Mbps]
202.155.95.132:443#ID [1359ms 0Mbps]
54.194.24.172:443#IE [211ms 4Mbps]
52.19.138.237:8443#IE [217ms 0Mbps]
198.55.102.68:2083#IE [224ms 2Mbps]
194.87.245.205:8443#IE [244ms 0Mbps]
5.157.30.28:8443#IE [250ms 0Mbps]
5.157.30.26:8443#IE [257ms 1Mbps]
85.159.229.122:443#IE [285ms 1Mbps]
23.95.225.10:8443#IE [1222ms 1Mbps]
64.176.170.68:8443#IL [230ms 1Mbps]
64.176.167.56:8443#IL [266ms 0Mbps]
192.71.27.237:443#IL [1305ms 0Mbps]
35.154.184.88:443#IN [优选高速] [120ms 13Mbps]
65.2.215.47:8443#IN [优选高速] [129ms 12Mbps]
5.253.30.225:443#IN [269ms 0Mbps]
5.253.30.229:443#IN [331ms 1Mbps]
5.253.30.228:443#IN [340ms 0Mbps]
5.253.29.241:2053#IN [347ms 1Mbps]
5.253.28.245:443#IN [353ms 0Mbps]
139.84.156.127:443#IN [357ms 0Mbps]
89.147.108.16:8443#IS [221ms 0Mbps]
89.147.111.223:2053#IS [236ms 0Mbps]
195.246.231.187:8443#IS [239ms 0Mbps]
89.127.235.250:443#IS [262ms 0Mbps]
89.147.109.212:443#IS [268ms 0Mbps]
132.243.255.97:8443#IT [207ms 1Mbps]
80.211.238.227:443#IT [213ms 0Mbps]
5.249.148.85:443#IT [229ms 2Mbps]
80.211.134.75:443#IT [230ms 0Mbps]
94.177.202.37:443#IT [240ms 1Mbps]
80.211.24.32:443#IT [241ms 0Mbps]
149.154.157.213:443#IT [244ms 0Mbps]
113.30.151.151:8443#IT [245ms 0Mbps]
45.94.40.84:8443#JP [34ms 1Mbps]
64.83.39.176:443#JP [36ms 1Mbps]
154.36.155.70:443#JP [42ms 1Mbps]
8.217.136.124:443#JP [优选高速] [44ms 17Mbps]
18.180.127.240:8443#JP [优选高速] [51ms 23Mbps]
52.196.63.84:443#JP [优选高速] [62ms 24Mbps]
177.3.89.196:443#JP [63ms 9Mbps]
52.192.169.96:8443#JP [64ms 11Mbps]
188.240.213.98:2053#KG [226ms 2Mbps]
61.109.188.221:443#KR [优选高速] [32ms 28Mbps]
61.109.188.223:443#KR [优选高速] [34ms 21Mbps]
168.107.56.181:443#KR [优选高速] [42ms 22Mbps]
43.108.46.150:8443#KR [优选高速] [49ms 17Mbps]
168.107.0.210:443#KR [优选高速] [50ms 28Mbps]
168.110.112.196:8443#KR [优选高速] [50ms 17Mbps]
47.80.57.116:443#KR [50ms 1Mbps]
140.245.65.122:443#KR [51ms 9Mbps]
147.45.184.140:8443#KZ [238ms 0Mbps]
109.235.116.6:443#KZ [253ms 1Mbps]
46.8.254.32:443#KZ [265ms 0Mbps]
185.253.8.65:2053#KZ [269ms 1Mbps]
83.222.22.61:2053#KZ [269ms 1Mbps]
94.131.83.5:8443#KZ [269ms 0Mbps]
176.12.78.200:443#KZ [275ms 1Mbps]
45.10.40.150:443#KZ [275ms 0Mbps]
194.135.85.34:443#LT [219ms 0Mbps]
46.29.234.91:8443#LT [222ms 1Mbps]
213.189.221.242:8443#LT [230ms 2Mbps]
80.209.232.78:443#LT [230ms 1Mbps]
213.183.55.153:8443#LT [246ms 0Mbps]
72.56.5.222:443#LT [252ms 0Mbps]
93.115.25.111:443#LT [267ms 0Mbps]
89.125.248.173:443#LT [276ms 0Mbps]
185.82.127.6:2053#LV [187ms 1Mbps]
185.82.126.247:2053#LV [205ms 2Mbps]
217.60.3.126:8443#LV [213ms 1Mbps]
217.19.4.177:8443#LV [213ms 0Mbps]
31.59.41.214:443#LV [214ms 1Mbps]
46.8.64.232:443#LV [215ms 1Mbps]
185.92.183.193:8443#LV [216ms 2Mbps]
5.144.179.49:2053#LV [217ms 1Mbps]
185.153.198.86:443#MD [234ms 1Mbps]
93.185.165.175:443#MD [261ms 0Mbps]
195.144.24.34:443#MK [267ms 0Mbps]
195.144.24.134:443#MK [1290ms 1Mbps]
45.202.247.198:8443#MO [1306ms 0Mbps]
216.238.79.83:8443#MX [212ms 2Mbps]
216.238.72.72:443#MX [212ms 1Mbps]
38.213.228.91:443#MX [212ms 0Mbps]
38.213.228.141:443#MX [217ms 0Mbps]
216.238.79.164:443#MX [1219ms 2Mbps]
23.27.113.20:8443#MY [优选高速] [72ms 19Mbps]
202.187.7.166:443#MY [201ms 0Mbps]
47.250.81.46:2087#MY [215ms 0Mbps]
202.184.53.82:8443#MY [217ms 0Mbps]
149.118.144.163:443#MY [1196ms 2Mbps]
149.118.158.90:8443#MY [1220ms 0Mbps]
102.130.48.155:2053#NG [309ms 0Mbps]
43.169.18.179:443#NL [171ms 2Mbps]
109.120.142.143:443#NL [173ms 0Mbps]
77.221.133.14:443#NL [175ms 1Mbps]
194.87.0.196:443#NL [178ms 3Mbps]
31.57.196.157:8443#NL [178ms 0Mbps]
194.154.26.110:443#NL [179ms 1Mbps]
147.90.89.76:443#NL [180ms 0Mbps]
147.90.89.208:443#NL [180ms 0Mbps]
89.185.81.54:443#NO [185ms 1Mbps]
46.29.238.112:443#NO [197ms 0Mbps]
194.5.98.105:8443#NO [199ms 0Mbps]
194.5.98.17:443#NO [204ms 1Mbps]
202.50.55.76:443#NO [232ms 1Mbps]
194.5.98.103:443#NO [234ms 3Mbps]
144.31.217.95:443#NO [1327ms 0Mbps]
114.23.136.104:443#NZ [305ms 0Mbps]
54.37.139.89:8443#PL [189ms 1Mbps]
89.46.235.32:8443#PL [191ms 0Mbps]
185.126.64.143:443#PL [193ms 0Mbps]
145.239.85.117:2053#PL [197ms 1Mbps]
91.196.163.129:443#PL [202ms 3Mbps]
145.239.85.117:8443#PL [206ms 0Mbps]
185.126.64.4:2053#PL [208ms 2Mbps]
57.128.203.189:443#PL [210ms 0Mbps]
89.37.192.206:443#RO [185ms 1Mbps]
38.180.253.71:443#RO [206ms 0Mbps]
85.120.229.219:443#RO [211ms 1Mbps]
89.37.192.32:443#RO [212ms 1Mbps]
178.214.211.48:8443#RO [234ms 0Mbps]
38.79.154.232:443#RO [246ms 0Mbps]
89.125.201.241:443#RO [253ms 0Mbps]
103.102.229.45:443#RO [257ms 1Mbps]
38.244.190.206:443#RS [213ms 0Mbps]
185.48.250.113:443#RS [218ms 0Mbps]
195.133.18.146:443#RS [225ms 1Mbps]
130.49.163.54:2053#RS [226ms 0Mbps]
185.48.251.100:443#RS [249ms 1Mbps]
185.48.250.113:8443#RS [252ms 1Mbps]
185.105.108.92:8443#RS [1249ms 5Mbps]
45.74.3.80:443#RU [193ms 1Mbps]
77.246.156.46:8443#RU [197ms 1Mbps]
139.100.226.187:8443#RU [197ms 0Mbps]
92.255.78.233:2053#RU [199ms 1Mbps]
46.29.118.247:8443#RU [202ms 1Mbps]
46.29.118.247:443#RU [205ms 2Mbps]
45.151.102.216:443#RU [205ms 1Mbps]
95.163.242.189:8443#RU [206ms 0Mbps]
130.94.58.215:8443#SA [249ms 1Mbps]
65.20.115.191:8443#SE [192ms 1Mbps]
16.171.11.113:8443#SE [192ms 0Mbps]
143.246.194.49:2053#SE [198ms 2Mbps]
16.170.253.163:443#SE [207ms 5Mbps]
70.34.200.203:2053#SE [207ms 1Mbps]
81.27.106.235:443#SE [209ms 0Mbps]
62.182.193.108:2087#SE [212ms 2Mbps]
65.20.114.152:443#SE [214ms 2Mbps]
54.169.57.101:8443#SG [优选高速] [70ms 21Mbps]
54.179.213.8:8443#SG [优选高速] [71ms 24Mbps]
185.194.54.104:443#SG [74ms 0Mbps]
140.235.9.57:8443#SG [优选高速] [75ms 16Mbps]
195.172.137.20:8443#SG [91ms 9Mbps]
109.176.19.244:443#SG [91ms 2Mbps]
217.116.170.32:443#SG [91ms 1Mbps]
109.176.19.174:443#SG [96ms 0Mbps]
67.221.249.24:443#SI [184ms 0Mbps]
89.46.42.92:2053#SK [209ms 0Mbps]
89.46.42.141:8443#SK [210ms 1Mbps]
91.242.163.179:8443#SK [249ms 0Mbps]
91.242.163.179:2053#SK [1264ms 0Mbps]
45.150.131.246:443#TH [216ms 0Mbps]
103.224.84.70:443#TH [236ms 2Mbps]
118.27.150.97:8443#TH [350ms 0Mbps]
45.150.128.159:443#TH [1199ms 7Mbps]
45.12.143.25:443#TR [199ms 2Mbps]
188.132.192.190:2053#TR [205ms 4Mbps]
213.155.119.28:443#TR [206ms 3Mbps]
212.115.103.222:8443#TR [214ms 3Mbps]
203.202.232.110:443#TR [220ms 2Mbps]
217.11.164.172:2053#TR [225ms 1Mbps]
193.57.136.201:443#TR [226ms 0Mbps]
188.132.192.145:2087#TR [226ms 0Mbps]
60.249.101.167:443#TW [48ms 5Mbps]
114.32.9.249:443#TW [86ms 0Mbps]
43.213.230.249:443#TW [优选高速] [99ms 15Mbps]
142.249.60.51:443#TW [272ms 1Mbps]
85.237.207.126:443#TW [275ms 0Mbps]
188.253.6.249:443#TW [282ms 0Mbps]
140.235.38.206:443#TW [289ms 1Mbps]
82.152.91.210:443#TW [294ms 0Mbps]
91.239.65.102:443#UA [231ms 1Mbps]
91.238.105.102:443#UA [242ms 2Mbps]
185.86.77.181:8443#UA [1215ms 1Mbps]
47.57.181.17:443#US [40ms 0Mbps]
82.22.26.141:2053#US [116ms 0Mbps]
45.63.85.97:8443#US [122ms 3Mbps]
154.64.236.56:443#US [125ms 9Mbps]
154.17.19.20:8443#US [125ms 0Mbps]
38.59.243.20:443#US [优选高速] [126ms 14Mbps]
38.55.108.5:443#US [126ms 9Mbps]
154.12.52.242:443#US [126ms 2Mbps]
103.197.185.178:443#VN [150ms 4Mbps]
103.15.91.174:443#VN [150ms 1Mbps]
157.66.26.194:443#VN [227ms 1Mbps]
103.186.64.182:443#VN [345ms 0Mbps]
160.25.74.227:443#VN [1136ms 10Mbps]
139.84.226.30:8443#ZA [422ms 0Mbps]
139.84.230.41:443#ZA [422ms 0Mbps]
139.84.242.103:443#ZA [423ms 0Mbps]
139.84.231.16:8443#ZA [1458ms 0Mbps]
